name,dexID,type1,type2,Ability 1,Ability 2,Hidden,weight (in lbs),baseStatTotal,baseHP,baseAtk,baseDef,baseSpAtk,baseSpDef,baseSpeed,gen9Legal,mostRecentUsageTier
Hoppip,187,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,1.1,250,35,35,40,35,55,50,TRUE,PU
Skiploom,188,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2.2,340,55,45,50,45,65,80,TRUE,PU
Jumpluff,189,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,6.6,460,75,55,70,55,95,110,TRUE,PU
Aipom,190,Normal,,Run Away,Pickup,Skill Link,25.4,360,55,70,55,40,55,85,FALSE,PU
Sunkern,191,Grass,,Chlorophyll,Solar Power,Early Bird,4,180,30,30,30,30,30,30,TRUE,PU
Sunflora,192,Grass,,Chlorophyll,Solar Power,Early Bird,18.7,425,75,75,55,105,85,30,TRUE,PU
Yanma,193,Bug,Flying,Speed Boost,Compound Eyes,Frisk,83.8,390,65,65,45,75,45,95,FALSE,PU
Wooper,194,Water,Ground,Damp,Water Absorb,Unaware,18.7,210,55,45,45,25,25,15,TRUE,PU
PaldeanWooper,194.1,Poison,Ground,Poison Point,Water Absorb,Unaware,24.3,210,55,45,45,25,25,15,TRUE,PU
Quagsire,195,Water,Ground,Damp,Water Absorb,Unaware,165.3,430,95,85,85,65,65,35,TRUE,UU
Espeon,196,Psychic,,Synchronize,,Magic Bounce,58.4,525,65,65,60,130,95,110,TRUE,UU
Umbreon,197,Dark,,Synchronize,,Inner Focus,59.5,525,95,65,110,60,130,65,TRUE,NU
Murkrow,198,Dark,Flying,Insomnia,Super Luck,Prankster,4.6,405,60,85,42,85,42,91,TRUE,PU
Slowking,199,Water,Psychic,Oblivious,Own Tempo,Regenerator,175.3,490,95,75,80,100,110,30,TRUE,UU
GalarianSlowking,199.1,Poison,Psychic,Curious Medicine,Own Tempo,Regenerator,175.3,490,95,65,80,110,110,30,FALSE,OU
Misdreavus,200,Ghost,,Levitate,,,2.2,435,60,60,60,85,85,85,TRUE,PU
Unown,201,Psychic,,Levitate,,,11,336,48,72,48,72,48,48,FALSE,PU
Wobbuffet,202,Psychic,,Shadow Tag,,Telepathy,62.8,405,190,33,58,33,58,33,FALSE,PU
Girafarig,203,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,91.5,455,70,80,65,90,65,85,TRUE,PU
Pineco,204,Bug,,Sturdy,,Overcoat,15.9,290,50,65,90,35,35,15,TRUE,PU
Forretress,205,Bug,Steel,Sturdy,,Overcoat,277.3,465,75,90,140,60,60,40,TRUE,UU
Dunsparce,206,Normal,,Serene Grace,Run Away,Rattled,30.9,415,100,70,70,65,65,45,TRUE,PU
Gligar,207,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,142.9,430,65,75,105,35,65,85,FALSE,UU
Steelix,208,Steel,Ground,Rock Head,Sturdy,Sheer Force,881.8,510,75,85,200,55,65,30,FALSE,RU
MegaSteelix,208.1,Steel,Ground,Sand Force,,,1631.4,610,75,125,230,55,95,30,FALSE,UU
Snubbull,209,Fairy,,Intimidate,Run Away,Rattled,17.2,300,60,80,50,40,40,30,FALSE,PU
Granbull,210,Fairy,,Intimidate,Quick Feet,Rattled,107.4,450,90,120,75,60,60,45,FALSE,PU
Qwilfish,211,Water,Poison,Poison Point,Swift Swim,Intimidate,8.6,440,65,95,85,55,55,85,TRUE,NU
HisuianQwilfish,211.1,Dark,Poison,Poison Point,Swift Swim,Intimidate,8.6,440,65,95,85,55,55,85,FALSE,
Scizor,212,Bug,Steel,Swarm,Technician,Light Metal,260.1,500,70,130,100,55,80,65,TRUE,UU
MegaScizor,212.1,Bug,Steel,Technician,,,275.6,600,70,150,140,65,100,75,FALSE,OU
Shuckle,213,Bug,Rock,Sturdy,Gluttony,Contrary,45.2,505,20,10,230,10,230,5,FALSE,PU
Heracross,214,Bug,Fighting,Swarm,Guts,Moxie,119,500,80,125,75,40,95,85,TRUE,RU
MegaHeracross,214.1,Bug,Fighting,Skill Link,,,137.8,600,80,185,115,40,105,75,FALSE,OU
Sneasel,215,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,61.7,430,55,95,55,35,75,115,TRUE,PU
HisuianSneasel,215.1,Fighting,Poison,Inner Focus,Keen Eye,Pickpocket,59.5,430,55,95,55,35,75,115,FALSE,
Teddiursa,216,Normal,,Pickup,Quick Feet,Honey Gather,19.4,330,60,80,50,50,50,40,TRUE,PU
Ursaring,217,Normal,,Guts,Quick Feet,Unnerve,277.3,500,90,130,75,75,75,55,TRUE,NU
Slugma,218,Fire,,Magma Armor,Flame Body,Weak Armor,77.2,250,40,40,40,70,40,20,FALSE,PU
Magcargo,219,Fire,Rock,Magma Armor,Flame Body,Weak Armor,121.3,430,60,50,120,90,80,30,FALSE,PU
Swinub,220,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,14.3,250,50,50,40,30,30,50,FALSE,PU
Piloswine,221,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,123,450,100,100,80,60,60,50,FALSE,PU
Corsola,222,Water,Rock,Hustle,Natural Cure,Regenerator,11,410,65,55,95,65,95,35,FALSE,PU
GalarianCorsola,222.1,Ghost,,Weak Armor,,Cursed Body,1.1,410,60,55,100,65,100,30,FALSE,PU
Remoraid,223,Water,,Hustle,Sniper,Moody,26.5,300,35,65,35,65,35,65,FALSE,PU
Octillery,224,Water,,Suction Cups,Sniper,Moody,62.8,480,75,105,75,105,75,45,FALSE,PU
Delibird,225,Ice,Flying,Vital Spirit,Hustle,Insomnia,35.3,330,45,55,45,65,45,75,TRUE,PU
Mantine,226,Water,Flying,Swift Swim,Water Absorb,Water Veil,485,485,85,40,70,80,140,70,FALSE,NU
Skarmory,227,Steel,Flying,Keen Eye,Sturdy,Weak Armor,111.3,465,65,80,140,40,70,70,FALSE,UU
Houndour,228,Dark,Fire,Early Bird,Flash Fire,Unnerve,23.8,330,45,60,30,80,50,65,TRUE,PU
Houndoom,229,Dark,Fire,Early Bird,Flash Fire,Unnerve,77.2,500,75,90,50,110,80,95,TRUE,PU
MegaHoundoom,229.1,Dark,Fire,Solar Power,,,109.1,600,75,90,90,140,90,115,FALSE,UU
Kingdra,230,Water,Dragon,Swift Swim,Sniper,Damp,335.1,540,75,95,95,95,95,85,FALSE,NU
Phanpy,231,Ground,,Pickup,,Sand Veil,73.9,330,90,60,60,40,40,40,TRUE,PU
Donphan,232,Ground,,Sturdy,,Sand Veil,264.6,500,90,120,120,60,60,50,TRUE,UU
Porygon2,233,Normal,,Trace,Download,Analytic,71.6,515,85,80,90,105,95,60,FALSE,RU
Stantler,234,Normal,,Intimidate,Frisk,Sap Sipper,157,465,73,95,62,85,65,85,TRUE,PU
Smeargle,235,Normal,,Own Tempo,Technician,Moody,127.9,250,55,20,35,20,45,75,FALSE,PU
Tyrogue,236,Fighting,,Guts,Steadfast,Vital Spirit,46.3,210,35,35,35,35,35,35,FALSE,PU
Hitmontop,237,Fighting,,Intimidate,Technician,Steadfast,105.8,455,50,95,95,35,110,70,FALSE,NU
Smoochum,238,Ice,Psychic,Oblivious,Forewarn,Hydration,13.2,305,45,30,15,85,65,65,FALSE,PU
Elekid,239,Electric,,Static,,Vital Spirit,51.8,360,45,63,37,65,55,95,FALSE,PU
Magby,240,Fire,,Flame Body,,Vital Spirit,47.2,365,45,75,37,70,55,83,FALSE,PU
Miltank,241,Normal,,Thick Fat,Scrappy,Sap Sipper,166.4,490,95,80,105,40,70,100,FALSE,PU
Blissey,242,Normal,,Natural Cure,Serene Grace,Healer,103.2,540,255,10,10,75,135,55,TRUE,RU
Raikou,243,Electric,,Pressure,,Inner Focus,392.4,580,90,85,75,115,100,115,FALSE,RU
Entei,244,Fire,,Pressure,,Inner Focus,436.5,580,115,115,85,90,75,100,FALSE,RU
Suicune,245,Water,,Pressure,,Inner Focus,412.3,580,100,75,115,90,115,85,FALSE,RU
Larvitar,246,Rock,Ground,Guts,,Sand Veil,158.7,300,50,64,50,45,50,41,TRUE,PU
Pupitar,247,Rock,Ground,Shed Skin,,,335.1,410,70,84,70,65,70,51,TRUE,PU
Tyranitar,248,Rock,Dark,Sand Stream,,Unnerve,445.3,600,100,134,110,95,100,61,TRUE,UU
MegaTyranitar,248.1,Rock,Dark,Sand Stream,,,562.2,700,100,164,150,95,120,71,FALSE,OU
Lugia,249,Psychic,Flying,Pressure,,Multiscale,476.2,680,106,90,130,90,154,110,FALSE,Uber
Ho-oh,250,Fire,Flying,Pressure,,Regenerator,438.7,680,106,130,90,110,154,90,FALSE,Uber
Celebi,251,Psychic,Grass,Natural Cure,,,11,600,100,100,100,100,100,100,FALSE,RU
Treecko,252,Grass,,Overgrow,,Unburden,11,310,40,45,35,65,55,70,FALSE,PU
Grovyle,253,Grass,,Overgrow,,Unburden,47.6,405,50,65,45,85,65,95,FALSE,PU
Sceptile,254,Grass,,Overgrow,,Unburden,115.1,530,70,85,65,105,85,120,FALSE,NU
MegaSceptile,254.1,Grass,Dragon,Lightning Rod,,,121.7,630,70,110,75,145,85,145,FALSE,RU
Torchic,255,Fire,,Blaze,,Speed Boost,5.5,310,45,60,40,70,50,45,FALSE,PU
Combusken,256,Fire,Fighting,Blaze,,Speed Boost,43,405,60,85,60,85,60,55,FALSE,PU
Blaziken,257,Fire,Fighting,Blaze,,Speed Boost,114.6,530,80,120,70,110,70,80,FALSE,OU
MegaBlaziken,257.1,Fire,Fighting,Speed Boost,,,114.6,630,80,160,80,130,80,100,FALSE,Uber
Mudkip,258,Water,,Torrent,,Damp,16.8,310,50,70,50,50,50,40,FALSE,PU
Marshtomp,259,Water,Ground,Torrent,,Damp,61.7,405,70,85,70,60,70,50,FALSE,PU
Swampert,260,Water,Ground,Torrent,,Damp,180.6,535,100,110,90,85,90,60,FALSE,UU
MegaSwampert,260.1,Water,Ground,Swift Swim,,,224.9,635,100,150,110,95,110,70,FALSE,OU
Poochyena,261,Dark,,Run Away,Quick Feet,Rattled,30,220,35,55,35,30,30,35,FALSE,PU
Mightyena,262,Dark,,Intimidate,Quick Feet,Moxie,81.6,420,70,90,70,60,60,70,FALSE,PU
Zigzagoon,263,Normal,,Pickup,Gluttony,Quick Feet,38.6,240,38,30,41,30,41,60,FALSE,PU
GalarianZigzagoon,263.1,Dark,Normal,Pickup,Gluttony,Quick Feet,38.6,240,38,30,41,30,41,60,FALSE,PU
Linoone,264,Normal,,Pickup,Gluttony,Quick Feet,71.6,420,78,70,61,50,61,100,FALSE,RU
GalarianLinoone,264.1,Dark,Normal,Pickup,Gluttony,Quick Feet,71.7,420,78,70,61,50,61,100,FALSE,PU
Wurmple,265,Bug,,Shield Dust,,Run Away,7.9,195,45,45,35,20,30,20,FALSE,PU
Silcoon,266,Bug,,Shed Skin,,,22,205,50,35,55,25,25,15,FALSE,PU
Beautifly,267,Bug,Flying,Swarm,,Rivalry,62.6,395,60,70,50,100,50,65,FALSE,PU
Cascoon,268,Bug,,Shed Skin,,,25.4,205,50,35,55,25,25,15,FALSE,PU
Dustox,269,Bug,Poison,Shield Dust,,Compound Eyes,69.7,385,60,50,70,50,90,65,FALSE,PU
Lotad,270,Water,Grass,Swift Swim,Rain Dish,Own Tempo,5.7,220,40,30,30,40,50,30,FALSE,PU
Lombre,271,Water,Grass,Swift Swim,Rain Dish,Own Tempo,71.6,340,60,50,50,60,70,50,FALSE,PU
Ludicolo,272,Water,Grass,Swift Swim,Rain Dish,Own Tempo,121.3,480,80,70,70,90,100,70,FALSE,PU
Seedot,273,Grass,,Chlorophyll,Early Bird,Pickpocket,8.8,220,40,40,50,30,30,30,FALSE,PU
Nuzleaf,274,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,61.7,340,70,70,40,60,40,60,FALSE,PU
Shiftry,275,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,131.4,480,90,100,60,90,60,80,FALSE,PU
Taillow,276,Normal,Flying,Guts,,Scrappy,5.1,270,40,55,30,30,30,85,FALSE,PU
Swellow,277,Normal,Flying,Guts,,Scrappy,43.7,455,60,85,60,75,50,125,FALSE,RU
Wingull,278,Water,Flying,Keen Eye,Hydration,Rain Dish,20.9,270,40,30,30,55,30,85,TRUE,PU
Pelipper,279,Water,Flying,Keen Eye,Drizzle,Rain Dish,61.7,440,60,50,100,95,70,65,TRUE,OU
Ralts,280,Psychic,Fairy,Synchronize,Trace,Telepathy,14.6,198,28,25,25,45,35,40,TRUE,PU
Kirlia,281,Psychic,Fairy,Synchronize,Trace,Telepathy,44.5,278,38,35,35,65,55,50,TRUE,PU
Gardevoir,282,Psychic,Fairy,Synchronize,Trace,Telepathy,106.7,518,68,65,65,125,115,80,TRUE,RU
MegaGardevoir,282.1,Psychic,Fairy,Pixilate,,,106.7,618,68,85,65,165,135,100,FALSE,OU
Surskit,283,Bug,Water,Swift Swim,,Rain Dish,3.7,269,40,30,32,50,52,65,TRUE,PU
Masquerain,284,Bug,Flying,Intimidate,,Unnerve,7.9,454,70,60,62,100,82,80,TRUE,NU
Shroomish,285,Grass,,Effect Spore,Poison Heal,Quick Feet,9.9,295,60,40,60,40,60,35,TRUE,PU
Breloom,286,Grass,Fighting,Effect Spore,Poison Heal,Technician,86.4,460,60,130,80,60,60,70,TRUE,OU
Slakoth,287,Normal,,Truant,,,52.9,280,60,60,60,35,35,30,TRUE,PU
Vigoroth,288,Normal,,Vital Spirit,,,102.5,440,80,80,80,55,55,90,TRUE,PU
Slaking,289,Normal,,Truant,,,287.7,670,150,160,100,95,65,100,TRUE,PU
Nincada,290,Bug,Ground,Compound Eyes,,Run Away,12.1,266,31,45,90,30,30,40,FALSE,PU
Ninjask,291,Bug,Flying,Speed Boost,,Infiltrator,26.5,456,61,90,45,50,50,160,FALSE,PU
Shedinja,292,Bug,Ghost,Wonder Guard,,,2.6,236,1,90,45,30,30,40,FALSE,PU
Whismur,293,Normal,,Soundproof,,Rattled,35.9,240,64,51,23,51,23,28,FALSE,PU
Loudred,294,Normal,,Soundproof,,Scrappy,89.3,360,84,71,43,71,43,48,FALSE,PU
Exploud,295,Normal,,Soundproof,,Scrappy,185.2,490,104,91,63,91,73,68,FALSE,NU
Makuhita,296,Fighting,,Thick Fat,Guts,Sheer Force,190.5,237,72,60,30,20,30,25,TRUE,PU
Hariyama,297,Fighting,,Thick Fat,Guts,Sheer Force,559.5,474,144,120,60,40,60,50,TRUE,UU
Azurill,298,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,4.4,190,50,20,40,20,40,20,TRUE,PU
Nosepass,299,Rock,,Sturdy,Magnet Pull,Sand Force,213.8,375,30,45,135,45,90,30,FALSE,PU
Skitty,300,Normal,,Cute Charm,Normalize,Wonder Skin,24.3,260,50,45,45,35,35,50,FALSE,PU
Delcatty,301,Normal,,Cute Charm,Normalize,Wonder Skin,71.9,400,70,65,65,55,55,90,FALSE,PU
Sableye,302,Dark,Ghost,Keen Eye,Stall,Prankster,24.3,380,50,75,75,65,65,50,TRUE,RU
MegaSableye,302.1,Dark,Ghost,Magic Bounce,,,354.9,480,50,85,125,85,115,20,FALSE,OU
Mawile,303,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,25.4,380,50,85,85,55,55,50,FALSE,PU
MegaMawile,303.1,Steel,Fairy,Huge Power,,,51.8,480,50,105,125,55,95,50,FALSE,OU
Aron,304,Steel,Rock,Sturdy,Rock Head,Heavy Metal,132.3,330,50,70,100,40,40,30,FALSE,PU
Lairon,305,Steel,Rock,Sturdy,Rock Head,Heavy Metal,264.6,430,60,90,140,50,50,40,FALSE,PU
Aggron,306,Steel,Rock,Sturdy,Rock Head,Heavy Metal,793.7,530,70,110,180,60,60,50,FALSE,PU
MegaAggron,306.1,Steel,,Filter,,,870.8,630,70,140,230,60,80,50,FALSE,UU
Meditite,307,Fighting,Psychic,Pure Power,,Telepathy,24.7,280,30,40,55,40,55,60,TRUE,PU
Medicham,308,Fighting,Psychic,Pure Power,,Telepathy,69.4,410,60,60,75,60,75,80,TRUE,NU
MegaMedicham,308.1,Fighting,Psychic,Pure Power,,,69.4,510,60,100,85,80,85,100,FALSE,OU
Electrike,309,Electric,,Static,Lightning Rod,Minus,33.5,295,40,45,40,65,40,65,FALSE,PU
Manectric,310,Electric,,Static,Lightning Rod,Minus,88.6,475,70,75,60,105,60,105,FALSE,PU
MegaManectric,310.1,Electric,,Intimidate,,,97,575,70,75,80,135,80,135,FALSE,UU
Plusle,311,Electric,,Plus,,Lightning Rod,9.3,405,60,50,40,85,75,95,FALSE,PU
Minun,312,Electric,,Minus,,Volt Absorb,9.3,405,60,40,50,75,85,95,FALSE,PU
Volbeat,313,Bug,,Illuminate,Swarm,Prankster,39,430,65,73,75,47,85,85,FALSE,PU
Illumise,314,Bug,,Oblivious,Tinted Lens,Prankster,39,430,65,47,75,73,85,85,FALSE,PU
Roselia,315,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,4.4,400,50,60,45,100,80,65,FALSE,PU
Gulpin,316,Poison,,Liquid Ooze,Sticky Hold,Gluttony,22.7,302,70,43,53,43,53,40,TRUE,PU
Swalot,317,Poison,,Liquid Ooze,Sticky Hold,Gluttony,176.4,467,100,73,83,73,83,55,TRUE,PU
Carvanha,318,Water,Dark,Rough Skin,,Speed Boost,45.9,305,45,90,20,65,20,65,FALSE,PU
Sharpedo,319,Water,Dark,Rough Skin,,Speed Boost,195.8,460,70,120,40,95,40,95,FALSE,RU
MegaSharpedo,319.1,Water,Dark,Strong Jaw,,,287.3,560,70,140,70,110,65,105,FALSE,UU
Wailmer,320,Water,,Water Veil,Oblivious,Pressure,286.6,400,130,70,35,70,35,60,FALSE,PU
Wailord,321,Water,,Water Veil,Oblivious,Pressure,877.8,500,170,90,45,90,45,60,FALSE,PU
Numel,322,Fire,Ground,Oblivious,Simple,Own Tempo,52.9,305,60,60,40,65,45,35,TRUE,PU
Camerupt,323,Fire,Ground,Magma Armor,Solid Rock,Anger Point,485,460,70,100,70,105,75,40,TRUE,PU
MegaCamerupt,323.1,Fire,Ground,Sheer Force,,,706.6,560,70,120,100,145,105,20,FALSE,RU
Torkoal,324,Fire,,White Smoke,Drought,Shell Armor,177.2,470,70,85,140,85,70,20,TRUE,OU
Spoink,325,Psychic,,Thick Fat,Own Tempo,Gluttony,67.5,330,60,25,35,70,80,60,TRUE,PU
Grumpig,326,Psychic,,Thick Fat,Own Tempo,Gluttony,157.6,470,80,45,65,90,110,80,TRUE,PU
Spinda,327,Normal,,Own Tempo,Tangled Feet,Contrary,11,360,60,60,60,60,60,60,FALSE,PU
Trapinch,328,Ground,,Hyper Cutter,Arena Trap,Sheer Force,33.1,290,45,100,45,45,45,10,FALSE,PU
Vibrava,329,Ground,Dragon,Levitate,,,33.7,340,50,70,50,50,50,70,FALSE,PU
Flygon,330,Ground,Dragon,Levitate,,,180.8,520,80,100,80,80,80,100,FALSE,RU
Cacnea,331,Grass,,Sand Veil,,Water Absorb,113.1,335,50,85,40,85,40,35,TRUE,PU
Cacturne,332,Grass,Dark,Sand Veil,,Water Absorb,170.6,475,70,115,60,115,60,55,TRUE,PU
Swablu,333,Normal,Flying,Natural Cure,,Cloud Nine,2.6,310,45,40,60,40,75,50,TRUE,PU
Altaria,334,Dragon,Flying,Natural Cure,,Cloud Nine,45.4,490,75,70,90,70,105,80,TRUE,RU
MegaAltaria,334.1,Dragon,Fairy,Pixilate,,,45.4,590,75,110,110,110,105,80,FALSE,UU
Zangoose,335,Normal,,Immunity,,Toxic Boost,88.8,458,73,115,60,60,60,90,TRUE,NU
Seviper,336,Poison,,Shed Skin,,Infiltrator,115.7,458,73,100,60,100,60,65,TRUE,PU
Lunatone,337,Rock,Psychic,Levitate,,,370.4,460,90,55,65,95,85,70,FALSE,PU
Solrock,338,Rock,Psychic,Levitate,,,339.5,460,90,95,85,55,65,70,FALSE,PU
Barboach,339,Water,Ground,Oblivious,Anticipation,Hydration,4.2,288,50,48,43,46,41,60,TRUE,PU
Whiscash,340,Water,Ground,Oblivious,Anticipation,Hydration,52,468,110,78,73,76,71,60,TRUE,NU
Corphish,341,Water,,Hyper Cutter,Shell Armor,Adaptability,25.4,308,43,80,65,50,35,35,FALSE,PU
Crawdaunt,342,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,72.3,468,63,120,85,90,55,55,FALSE,UU
Baltoy,343,Ground,Psychic,Levitate,,,47.4,300,40,40,55,40,70,55,FALSE,PU
Claydol,344,Ground,Psychic,Levitate,,,238.1,500,60,70,105,70,120,75,FALSE,PU
Lileep,345,Rock,Grass,Suction Cups,,Storm Drain,52.5,355,66,41,77,61,87,23,FALSE,PU
Cradily,346,Rock,Grass,Suction Cups,,Storm Drain,133.2,495,86,81,97,81,107,43,FALSE,PU
Anorith,347,Rock,Bug,Battle Armor,,Swift Swim,27.6,355,45,95,50,40,50,75,FALSE,PU
Armaldo,348,Rock,Bug,Battle Armor,,Swift Swim,150.4,495,75,125,100,70,80,45,FALSE,PU
Feebas,349,Water,,Swift Swim,Oblivious,Adaptability,16.3,200,20,15,20,10,55,80,FALSE,PU
Milotic,350,Water,,Marvel Scale,Competitive,Cute Charm,357.1,540,95,60,79,100,125,81,FALSE,RU
Castform,351,Normal,,Forecast,,,1.8,420,70,70,70,70,70,70,FALSE,PU
Castform-Sunny,351.1,Fire,,Forecast,,,1.8,420,70,70,70,70,70,70,FALSE,PU
Castform-Snowy,351.2,Ice,,Forecast,,,1.8,420,70,70,70,70,70,70,FALSE,PU
Castform-Rainy,351.3,Water,,Forecast,,,1.8,420,70,70,70,70,70,70,FALSE,PU
Kecleon,352,Normal,,Color Change,,Protean,48.5,440,60,90,70,60,120,40,FALSE,PU
Shuppet,353,Ghost,,Insomnia,Frisk,Cursed Body,5.1,295,44,75,35,63,33,45,TRUE,PU
Banette,354,Ghost,,Insomnia,Frisk,Cursed Body,27.6,455,64,115,65,83,63,65,TRUE,PU
MegaBanette,354.1,Ghost,,Prankster,,,28.7,555,64,165,75,93,83,75,FALSE,RU
Duskull,355,Ghost,,Levitate,,Frisk,33.1,295,20,40,90,30,90,25,FALSE,PU
Dusclops,356,Ghost,,Pressure,,Frisk,67.5,455,40,70,130,60,130,25,FALSE,PU
Tropius,357,Grass,Flying,Chlorophyll,Solar Power,Harvest,220.5,460,99,68,83,72,87,51,TRUE,PU
Chimecho,358,Psychic,,Levitate,,,2.2,455,75,50,80,95,90,65,FALSE,PU
Absol,359,Dark,,Pressure,Super Luck,Justified,103.6,465,65,130,60,75,60,75,FALSE,PU
MegaAbsol,359.1,Dark,,Magic Bounce,,,108,565,65,150,60,115,60,115,FALSE,UU
Wynaut,360,Psychic,,Shadow Tag,,Telepathy,30.9,260,95,23,48,23,48,23,FALSE,PU
Snorunt,361,Ice,,Inner Focus,Ice Body,Moody,37,300,50,50,50,50,50,50,TRUE,PU
Glalie,362,Ice,,Inner Focus,Ice Body,Moody,565.5,480,80,80,80,80,80,80,TRUE,PU
MegaGlalie,362.1,Ice,,Refrigerate,,,772.1,580,80,120,80,120,80,100,FALSE,NU
Spheal,363,Ice,Water,Thick Fat,Ice Body,Oblivious,87.1,290,70,40,50,55,50,25,FALSE,PU
Sealeo,364,Ice,Water,Thick Fat,Ice Body,Oblivious,193.1,410,90,60,70,75,70,45,FALSE,PU
Walrein,365,Ice,Water,Thick Fat,Ice Body,Oblivious,332,530,110,80,90,95,90,65,FALSE,PU
Clamperl,366,Water,,Shell Armor,,Rattled,115.7,345,35,64,85,74,55,32,FALSE,PU
Huntail,367,Water,,Swift Swim,,Water Veil,59.5,485,55,104,105,94,75,52,FALSE,PU
Gorebyss,368,Water,,Swift Swim,,Hydration,49.8,485,55,84,105,114,75,52,FALSE,PU
Relicanth,369,Water,Rock,Swift Swim,Rock Head,Sturdy,51.6,485,100,90,130,45,65,55,FALSE,PU
Luvdisc,370,Water,,Swift Swim,,Hydration,19.2,330,43,30,55,40,65,97,TRUE,PU
Bagon,371,Dragon,,Rock Head,,Sheer Force,92.8,300,45,75,60,40,30,50,TRUE,PU
Shelgon,372,Dragon,,Rock Head,,Overcoat,243.6,420,65,95,100,60,50,50,TRUE,PU
Salamence,373,Dragon,Flying,Intimidate,,Moxie,226.2,600,95,135,80,110,80,100,TRUE,UU
MegaSalamence,373.1,Dragon,Flying,Aerilate,,,247.8,700,95,145,130,120,90,120,FALSE,Uber
Beldum,374,Steel,Psychic,Clear Body,,Light Metal,209.9,300,40,55,80,35,60,30,FALSE,PU
Metang,375,Steel,Psychic,Clear Body,,Light Metal,446.4,420,60,75,100,55,80,50,FALSE,PU
Metagross,376,Steel,Psychic,Clear Body,,Light Metal,1212.5,600,80,135,130,95,90,70,FALSE,RU
MegaMetagross,376.1,Steel,Psychic,Tough Claws,,,2078.7,700,80,145,150,105,110,110,FALSE,Uber
Regirock,377,Rock,,Clear Body,,Sturdy,507.1,580,80,100,200,50,100,50,FALSE,PU
Regice,378,Ice,,Clear Body,,Ice Body,385.8,580,80,50,100,100,200,50,FALSE,PU
Registeel,379,Steel,,Clear Body,,Light Metal,451.9,580,80,75,150,75,150,50,FALSE,RU
Latias,380,Dragon,Psychic,Levitate,,,88.2,600,80,80,90,110,130,110,FALSE,OU
MegaLatias,380.1,Dragon,Psychic,Levitate,,,114.6,700,80,100,120,140,150,110,FALSE,OU
Latios,381,Dragon,Psychic,Levitate,,,132.3,600,80,90,80,130,110,110,FALSE,OU
MegaLatios,381.1,Dragon,Psychic,Levitate,,,154.3,700,80,130,100,160,120,110,FALSE,OU
Kyogre,382,Water,,Drizzle,,,776,670,100,100,90,150,140,90,FALSE,Uber
PrimalKyogre,382.1,Water,,Primordial Sea,,,948,770,100,150,90,180,160,90,FALSE,Uber
Groudon,383,Ground,,Drought,,,2094.4,670,100,150,140,100,90,90,FALSE,Uber
PrimalGroudon,383.1,Ground,Fire,Desolate Land,,,2203.9,770,100,180,160,150,90,90,FALSE,Uber
Rayquaza,384,Dragon,Flying,Air Lock,,,455.2,680,105,150,90,150,90,95,FALSE,Uber
MegaRayquaza,384.1,Dragon,Flying,Delta Stream,,,864.2,780,105,180,100,180,100,115,FALSE,AG
Jirachi,385,Steel,Psychic,Serene Grace,,,2.4,600,100,100,100,100,100,100,FALSE,UU
Deoxys-Attack,386,Psychic,,Pressure,,,134,600,50,180,20,180,20,150,FALSE,Uber
Deoxys-Defense,386.1,Psychic,,Pressure,,,134,600,50,70,160,70,160,90,FALSE,Uber
Deoxys-Normal,386.2,Psychic,,Pressure,,,134,600,50,150,50,150,50,150,FALSE,Uber
Deoxys-Speed,386.3,Psychic,,Pressure,,,134,600,50,95,90,95,90,180,FALSE,Uber
Turtwig,387,Grass,,Overgrow,,Shell Armor,22.5,318,55,68,64,45,55,31,FALSE,PU
Grotle,388,Grass,,Overgrow,,Shell Armor,213.8,405,75,89,85,55,65,36,FALSE,PU
Torterra,389,Grass,Ground,Overgrow,,Shell Armor,683.4,525,95,109,105,75,85,56,FALSE,PU
Chimchar,390,Fire,,Blaze,,Iron Fist,13.7,309,44,58,44,58,44,61,FALSE,PU
Monferno,391,Fire,Fighting,Blaze,,Iron Fist,48.5,405,64,78,52,78,52,81,FALSE,PU
Infernape,392,Fire,Fighting,Blaze,,Iron Fist,121.3,534,76,104,71,104,71,108,FALSE,UU
Piplup,393,Water,,Torrent,,Defiant,11.5,314,53,51,53,61,56,40,FALSE,PU
Prinplup,394,Water,,Torrent,,Defiant,50.7,405,64,66,68,81,76,50,FALSE,PU
Empoleon,395,Water,Steel,Torrent,,Defiant,186.3,530,84,86,88,111,101,60,FALSE,UU
Starly,396,Normal,Flying,Keen Eye,,Reckless,4.4,245,40,55,30,30,30,60,TRUE,PU
Staravia,397,Normal,Flying,Intimidate,,Reckless,34.2,340,55,75,50,40,40,80,TRUE,PU
