attackName,attackID,attackType,category,power,accuracy,maxPP,effect,probability
InfernalParade,362,Ghost,Special,60,100,15,Inflicts double damage if the target has a status condition.,
Inferno,363,Fire,Special,100,50,5,Burns opponent.,100
Infestation,364,Bug,Special,20,100,20,"Traps opponent, damaging them for 4-5 turns.",100
Ingrain,365,Grass,Status,,,20,User restores HP each turn. User cannot escape/switch.,
Instruct,366,Psychic,Status,,,15,Allows an ally to use a move instead.,
IonDeluge,367,Electric,Status,,,25,Changes Normal-type moves to Electric-type.,
IronDefense,368,Steel,Status,,,15,Sharply raises user's Defense.,
IronHead,369,Steel,Physical,80,100,15,May cause flinching.,30
IronTail,370,Steel,Physical,100,75,15,May lower opponent's Defense.,30
JawLock,371,Dark,Physical,80,100,10,Prevents user and opponent from switching out.,
JetPunch,372,Water,Physical,60,100,15,Always goes first.,
Judgment,373,Normal,Special,100,100,10,Type depends on the Arceus Plate being held.,
JumpKick,374,Fighting,Physical,100,95,10,"If it misses, the user loses half their HP.",
JungleHealing,375,Grass,Status,,,10,Restores team's HP and cures status conditions.,
KarateChop,376,Fighting,Physical,50,100,25,High critical hit ratio.,
Kinesis,377,Psychic,Status,,80,15,Lowers opponent's Accuracy.,
KingsShield,378,Steel,Status,,,10,Protects the user and lowers opponent's Attack on contact.,
KnockOff,379,Dark,Physical,65,100,20,Removes opponent's held item for the rest of the battle.,
KowtowCleave,380,Dark,Physical,85,,10,Always hits.,
LandsWrath,381,Ground,Physical,90,100,10,,
LaserFocus,382,Normal,Status,,,30,User's next attack is guaranteed to result in a critical hit.,
LashOut,383,Dark,Physical,75,100,5,Double power if stats were lowered during the turn.,
LastResort,384,Normal,Physical,140,100,5,Can only be used after all other moves are used.,
LastRespects,385,Ghost,Physical,50,100,10,Damages increases the more party Pokémon have been defeated.,
LavaPlume,386,Fire,Special,80,100,15,May burn opponent.,30
LeafBlade,387,Grass,Physical,90,100,15,High critical hit ratio.,
LeafStorm,388,Grass,Special,130,90,5,Sharply lowers user's Special Attack.,100
LeafTornado,389,Grass,Special,65,90,10,May lower opponent's Accuracy.,50
Leafage,390,Grass,Physical,40,100,40,Strikes opponent with leaves.,
LeechLife,391,Bug,Physical,80,100,10,User recovers half the HP inflicted on opponent.,
LeechSeed,392,Grass,Status,,90,10,Drains HP from opponent each turn.,
Leer,393,Normal,Status,,100,30,Lowers opponent's Defense.,100
Lick,394,Ghost,Physical,30,100,30,May paralyze opponent.,30
LifeDew,395,Water,Status,,,10,User and teammates recover HP.,
LightofRuin,396,Fairy,Special,140,90,5,User receives recoil damage.,
LightScreen,397,Psychic,Status,,,30,Halves damage from Special attacks for 5 turns.,
Liquidation,398,Water,Physical,85,100,10,May lower opponent's Defense.,20
LockOn,399,Normal,Status,,,5,User's next attack is guaranteed to hit.,
LovelyKiss,400,Normal,Status,,75,10,Puts opponent to sleep.,
LowKick,401,Fighting,Physical,,100,20,"The heavier the opponent, the stronger the attack.",
LowSweep,402,Fighting,Physical,65,100,20,Lowers opponent's Speed.,100
LuckyChant,403,Normal,Status,,,30,Opponent cannot land critical hits for 5 turns.,
LuminaCrash,404,Psychic,Special,80,100,10,Harshly lowers target’s Special Defense.,
LunarBlessing,405,Psychic,Status,,,5,Heals user's status conditions and recovers HP.,
LunarDance,406,Psychic,Status,,,10,The user faints but the next Pokémon released is fully healed.,
Lunge,407,Bug,Physical,80,100,15,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",100
LusterPurge,408,Psychic,Special,70,100,5,May lower opponent's Special Defense.,50
MachPunch,409,Fighting,Physical,40,100,30,User attacks first.,
MagicCoat,410,Psychic,Status,,,15,Reflects moves that cause status conditions back to the attacker.,
MagicPowder,411,Psychic,Status,,100,20,Changes target's type to Psychic.,
MagicRoom,412,Psychic,Status,,,10,Suppresses the effects of held items for five turns.,
MagicalLeaf,413,Grass,Special,60,,20,Ignores Accuracy and Evasiveness.,
MagicalTorque,414,Fairy,Physical,100,100,10,,
MagmaStorm,415,Fire,Special,100,75,5,"Traps opponent, damaging them for 4-5 turns.",100
MagnetBomb,416,Steel,Physical,60,,20,Ignores Accuracy and Evasiveness.,
MagnetRise,417,Electric,Status,,,10,User becomes immune to Ground-type moves for 5 turns.,
MagneticFlux,418,Electric,Status,,,20,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,
Magnitude,419,Ground,Physical,,100,30,Hits with random power.,
MakeItRain,420,Steel,Special,120,100,5,Lowers user's Special Attack. Money is earned after the battle.,
MatBlock,421,Fighting,Status,,,10,Protects teammates from damaging moves.,
MeFirst,422,Normal,Status,,,20,User copies the opponent's attack with 1.5× power.,
MeanLook,423,Normal,Status,,,5,Opponent cannot flee or switch.,
Meditate,424,Psychic,Status,,,40,Raises user's Attack.,
MegaDrain,425,Grass,Special,40,100,15,User recovers half the HP inflicted on opponent.,
MegaKick,426,Normal,Physical,120,75,5,,
MegaPunch,427,Normal,Physical,80,85,20,,
Megahorn,428,Bug,Physical,120,85,10,,
Memento,429,Dark,Status,,100,10,"User faints, sharply lowers opponent's Attack and Special Attack.",
MetalBurst,430,Steel,Physical,,100,10,Deals damage equal to 1.5x opponent's attack.,
MetalClaw,431,Steel,Physical,50,95,35,May raise user's Attack.,10
MetalSound,432,Steel,Status,,85,40,Sharply lowers opponent's Special Defense.,
MeteorAssault,433,Fighting,Physical,150,100,5,User must recharge next turn.,
MeteorBeam,434,Rock,Special,120,90,10,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",
MeteorMash,435,Steel,Physical,90,90,10,May raise user's Attack.,20
Metronome,436,Normal,Status,,,10,User performs almost any move in the game at random.,
MilkDrink,437,Normal,Status,,,5,User recovers half its max HP.,
Mimic,438,Normal,Status,,,10,Copies the opponent's last move.,
MindBlown,439,Fire,Special,150,100,5,User receives recoil damage.,
MindReader,440,Normal,Status,,,5,User's next attack is guaranteed to hit.,
Minimize,441,Normal,Status,,,10,Sharply raises user's Evasiveness.,
MiracleEye,442,Psychic,Status,,,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",
MirrorCoat,443,Psychic,Special,,100,20,"When hit by a Special Attack, user strikes back with 2x power.",
MirrorMove,444,Flying,Status,,,20,User performs the opponent's last move.,
MirrorShot,445,Steel,Special,65,85,10,May lower opponent's Accuracy.,30
Mist,446,Ice,Status,,,30,User's stats cannot be changed for a period of time.,
MistBall,447,Psychic,Special,70,100,5,May lower opponent's Special Attack.,50
MistyExplosion,448,Fairy,Special,100,100,5,Power increases on Misty Terrain.,
MistyTerrain,449,Fairy,Status,,,10,Protects the field from status conditions for 5 turns.,
Moonblast,450,Fairy,Special,95,100,15,May lower opponent's Special Attack.,30
MoongeistBeam,451,Ghost,Special,100,100,5,Ignores the target's ability.,
Moonlight,452,Fairy,Status,,,5,User recovers HP. Amount varies with the weather.,
MorningSun,453,Normal,Status,,,5,User recovers HP. Amount varies with the weather.,
MortalSpin,454,Poison,Physical,30,100,15,"Removes entry hazards and trap move effects, and poisons opposing Pokémon.",
MountainGale,455,Ice,Physical,100,85,10,Lowers user's Speed.,
MudBomb,456,Ground,Special,65,85,10,May lower opponent's Accuracy.,30
MudShot,457,Ground,Special,55,95,15,Lowers opponent's Speed.,100
MudSport,458,Ground,Status,,,15,Weakens the power of Electric-type moves.,
MudSlap,459,Ground,Special,20,100,10,Lowers opponent's Accuracy.,100
MuddyWater,460,Water,Special,90,85,10,May lower opponent's Accuracy.,30
MultiAttack,461,Normal,Physical,120,100,10,Type matches Memory item held.,
MysticalFire,462,Fire,Special,75,100,10,Lowers opponent's Special Attack.,100
MysticalPower,463,Psychic,Special,70,90,10,Raises user's Attack or Defense.,
NastyPlot,464,Dark,Status,,,20,Sharply raises user's Special Attack.,
NaturalGift,465,Normal,Physical,,100,15,Power and type depend on the user's held berry.,
NaturePower,466,Normal,Status,,,20,Uses a certain move based on the current terrain.,
NaturesMadness,467,Fairy,Special,,90,10,Halves the foe's HP.,
NeedleArm,468,Grass,Physical,60,100,15,May cause flinching.,30
NightDaze,469,Dark,Special,85,95,10,May lower opponent's Accuracy.,40
NightShade,470,Ghost,Special,,100,15,Inflicts damage equal to user's level.,
NightSlash,471,Dark,Physical,70,100,15,High critical hit ratio.,
Nightmare,472,Ghost,Status,,100,15,The sleeping opponent loses 25% of its max HP each turn.,
NoRetreat,473,Fighting,Status,,,5,Raises all stats but user cannot switch out.,100
NobleRoar,474,Normal,Status,,100,30,Lowers opponent's Attack and Special Attack.,100
NoxiousTorque,475,Poison,Physical,100,100,10,,
Nuzzle,476,Electric,Physical,20,100,20,Paralyzes opponent.,100
OblivionWing,477,Flying,Special,80,100,10,User recovers most of the HP inflicted on opponent.,
Obstruct,478,Dark,Status,,100,10,Protects the user and sharply lowers Defence on contact.,
Octazooka,479,Water,Special,65,85,10,May lower opponent's Accuracy.,50
Octolock,480,Fighting,Status,,100,15,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",
OdorSleuth,481,Normal,Status,,,40,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",
OminousWind,482,Ghost,Special,60,100,5,May raise all user's stats at once.,10
OrderUp,483,Dragon,Physical,80,100,10,,
OriginPulse,484,Water,Special,110,85,10,Hits all adjacent opponents.,
Outrage,485,Dragon,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,
Overdrive,486,Electric,Special,80,100,10,Hits all adjacent opponents.,
Overheat,487,Fire,Special,130,90,5,Sharply lowers user's Special Attack.,100
PainSplit,488,Normal,Status,,,20,The user's and opponent's HP becomes the average of both.,
ParabolicCharge,489,Electric,Special,65,100,20,User recovers half the HP inflicted on opponent.,
PartingShot,490,Dark,Status,,100,20,Lowers opponent's Attack and Special Attack then switches out.,100
PayDay,491,Normal,Physical,40,100,20,Money is earned after the battle.,
Payback,492,Dark,Physical,50,100,10,Power doubles if the user was attacked first.,
Peck,493,Flying,Physical,35,100,35,,
PerishSong,494,Normal,Status,,,5,Any Pokémon in play when this attack is used faints in 3 turns.,
PetalBlizzard,495,Grass,Physical,90,100,15,Hits all adjacent Pokémon.,
PetalDance,496,Grass,Special,120,100,10,User attacks for 2-3 turns but then becomes confused.,
PhantomForce,497,Ghost,Physical,90,100,10,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",
PhotonGeyser,498,Psychic,Special,100,100,5,"Uses Attack or Special Attack stat, whichever is higher.",
PikaPapow,499,Electric,Special,,,20,Power increases when player's bond is stronger.,
PinMissile,500,Bug,Physical,25,95,20,Hits 2-5 times in one turn.,
PlasmaFists,501,Electric,Physical,100,100,15,Changes Normal-type moves to Electric-type moves.,
PlayNice,502,Normal,Status,,,20,Lowers opponent's Attack. Always hits.,100
PlayRough,503,Fairy,Physical,90,90,10,May lower opponent's Attack.,10
Pluck,504,Flying,Physical,60,100,20,"If the opponent is holding a berry, its effect is stolen by user.",
PoisonFang,505,Poison,Physical,50,100,15,May badly poison opponent.,50
PoisonGas,506,Poison,Status,,90,40,Poisons opponent.,
PoisonJab,507,Poison,Physical,80,100,20,May poison the opponent.,30
PoisonPowder,508,Poison,Status,,75,35,Poisons opponent.,
PoisonSting,509,Poison,Physical,15,100,35,May poison the opponent.,30
PoisonTail,510,Poison,Physical,50,100,25,High critical hit ratio. May poison opponent.,10
PollenPuff,511,Bug,Special,90,100,15,Deals damage to opponent or restores HP of teammate.,
Poltergeist,512,Ghost,Physical,110,90,5,Fails if the target doesn’t have an item.,
PopulationBomb,513,Normal,Physical,20,90,10,Hits 1-10 times in a row.,
Pounce,514,Bug,Physical,50,100,20,Lowers opponent's Speed.,100
Pound,515,Normal,Physical,40,100,35,,
Powder,516,Bug,Status,,100,20,Damages Pokémon using Fire type moves.,
PowderSnow,517,Ice,Special,40,100,25,May freeze opponent.,10
PowerGem,518,Rock,Special,80,100,20,,
PowerShift,519,Normal,Status,,,10,Switches offensive and defensive stats.,
PowerSplit,520,Psychic,Status,,,10,Averages Attack and Special Attack with the target.,
PowerSwap,521,Psychic,Status,,,10,User and opponent swap Attack and Special Attack.,
PowerTrick,522,Psychic,Status,,,10,User's own Attack and Defense switch.,
PowerTrip,523,Dark,Physical,20,100,10,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",
PowerWhip,524,Grass,Physical,120,85,10,,
PowerUpPunch,525,Fighting,Physical,40,100,20,Raises Attack.,100
PrecipiceBlades,526,Ground,Physical,120,85,10,Hits all adjacent opponents.,
Present,527,Normal,Physical,,90,15,Either deals damage or heals.,
PrismaticLaser,528,Psychic,Special,160,100,10,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,
Protect,529,Normal,Status,,,10,"Protects the user, but may fail if used consecutively.",
Psybeam,530,Psychic,Special,65,100,20,May confuse opponent.,10
PsychUp,531,Normal,Status,,,10,Copies the opponent's stat changes.,
Psychic,532,Psychic,Special,90,100,10,May lower opponent's Special Defense.,10
PsychicFangs,533,Psychic,Physical,85,100,10,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,
PsychicTerrain,534,Psychic,Status,,,10,Prevents priority moves from being used for 5 turns.,
PsychoBoost,535,Psychic,Special,140,90,5,Sharply lowers user's Special Attack.,100
PsychoCut,536,Psychic,Physical,70,100,20,High critical hit ratio.,
PsychoShift,537,Psychic,Status,,100,10,Transfers user's status condition to the opponent.,
PsyshieldBash,538,Psychic,Physical,70,90,10,Raises user's Defense and Special Defense.,
Psyshock,539,Psychic,Special,80,100,10,"Inflicts damage based on the target's Defense, not Special Defense.",
Psystrike,540,Psychic,Special,100,100,10,"Inflicts damage based on the target's Defense, not Special Defense.",
Psywave,541,Psychic,Special,,100,15,Inflicts damage 50-150% of user's level.,
Punishment,542,Dark,Physical,,100,5,Power increases when opponent's stats have been raised.,
Purify,543,Poison,Status,,,20,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.",
Pursuit,544,Dark,Physical,40,100,20,Double power if the opponent is switching out.,
PyroBall,545,Fire,Physical,120,90,5,May burn opponent.,10
Quash,546,Dark,Status,,100,15,Makes the target act last this turn.,
QuickAttack,547,Normal,Physical,40,100,30,User attacks first.,
QuickGuard,548,Fighting,Status,,,15,Protects the user's team from high-priority moves.,
QuiverDance,549,Bug,Status,,,20,"Raises user's Special Attack, Special Defense and Speed.",
Rage,550,Normal,Physical,20,100,20,Raises user's Attack when hit.,
RageFist,551,Ghost,Physical,50,100,10,"The more times the user has been hit by attacks, the greater the move's power.",
RagePowder,552,Bug,Status,,,20,"Forces attacks to hit user, not team-mates.",
RagingBull,553,Normal,Physical,90,100,10,Type depends on the user’s form. Breaks through Reflect and Light Screen barriers.,
RagingFury,554,Fire,Physical,120,100,10,User keeps repeating the same move over and over.,
RainDance,555,Water,Status,,,5,Makes it rain for 5 turns.,
RapidSpin,556,Normal,Physical,50,100,40,Raises user's Speed and removes entry hazards and trap move effects.,100
RazorLeaf,557,Grass,Physical,55,95,25,High critical hit ratio.,
RazorShell,558,Water,Physical,75,95,10,May lower opponent's Defense.,50
RazorWind,559,Normal,Special,80,100,10,"Charges on first turn, attacks on second. High critical hit ratio.",
Recover,560,Normal,Status,,,5,User recovers half its max HP.,
Recycle,561,Normal,Status,,,10,User's used hold item is restored.,
Reflect,562,Psychic,Status,,,20,Halves damage from Physical attacks for 5 turns.,
ReflectType,563,Normal,Status,,,15,User becomes the target's type.,
Refresh,564,Normal,Status,,,20,"Cures paralysis, poison, and burns.",
RelicSong,565,Normal,Special,75,100,10,May put the target to sleep.,10
Rest,566,Psychic,Status,,,5,"User sleeps for 2 turns, but user is fully healed.",
Retaliate,567,Normal,Physical,70,100,5,Inflicts double damage if a teammate fainted on the last turn.,
Return,568,Normal,Physical,,100,20,Power increases with higher Friendship.,
RevelationDance,569,Normal,Special,90,100,15,Type changes based on Oricorio's form.,
Revenge,570,Fighting,Physical,60,100,10,Power increases if user was hit first.,
Reversal,571,Fighting,Physical,,100,15,"The lower the user's HP, the higher the power.",
RevivalBlessing,572,Normal,Status,,,1,Revives a fainted party Pokémon to half HP.,
RisingVoltage,573,Electric,Special,70,100,20,Power doubles on Electric Terrain.,
Roar,574,Normal,Status,,,20,"In battles, the opponent switches. In the wild, the Pokémon runs.",
RoarofTime,575,Dragon,Special,150,90,5,User must recharge next turn.,
RockBlast,576,Rock,Physical,25,90,10,Hits 2-5 times in one turn.,
RockClimb,577,Normal,Physical,90,85,20,May confuse opponent.,20
RockPolish,578,Rock,Status,,,20,Sharply raises user's Speed.,
RockSlide,579,Rock,Physical,75,90,10,May cause flinching.,30
RockSmash,580,Fighting,Physical,40,100,15,May lower opponent's Defense.,50
RockThrow,581,Rock,Physical,50,90,15,,
RockTomb,582,Rock,Physical,60,95,15,Lowers opponent's Speed.,100
RockWrecker,583,Rock,Physical,150,90,5,User must recharge next turn.,
RolePlay,584,Psychic,Status,,,10,User copies the opponent's Ability.,
RollingKick,585,Fighting,Physical,60,85,15,May cause flinching.,30
Rollout,586,Rock,Physical,30,90,20,Doubles in power each turn for 5 turns.,
Roost,587,Flying,Status,,,5,User recovers half of its max HP and loses the Flying type temporarily.,
Rototiller,588,Ground,Status,,,10,Raises Attack and Special Attack of Grass-types.,100
Round,589,Normal,Special,60,100,15,Power increases if teammates use it in the same turn.,
Ruination,590,Dark,Special,1,90,10,Halves the opponent's HP.,
SacredFire,591,Fire,Physical,100,95,5,May burn opponent.,50
SacredSword,592,Fighting,Physical,90,100,15,Ignores opponent's stat changes.,
Safeguard,593,Normal,Status,,,25,The user's party is protected from status conditions.,
SaltCure,594,Rock,Physical,40,100,15,Deals damage each turn; Steel and Water types are more affected.,
SandAttack,595,Ground,Status,,100,15,Lowers opponent's Accuracy.,
SandTomb,596,Ground,Physical,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
SandsearStorm,597,Ground,Special,100,80,10,May burn target.,
Sandstorm,598,Rock,Status,,,10,Creates a sandstorm for 5 turns.,
SappySeed,599,Grass,Physical,90,100,15,Drains HP from opponent each turn.,100
Scald,600,Water,Special,80,100,15,May burn opponent.,30
ScaleShot,601,Dragon,Physical,25,90,20,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.,
ScaryFace,602,Normal,Status,,100,10,Sharply lowers opponent's Speed.,
ScorchingSands,603,Ground,Special,70,100,10,May burn the target.,
Scratch,604,Normal,Physical,40,100,35,,
Screech,605,Normal,Status,,85,40,Sharply lowers opponent's Defense.,
SearingShot,606,Fire,Special,100,100,5,May burn opponent.,30
SecretPower,607,Normal,Physical,70,100,20,Effects of the attack vary with the location.,30
SecretSword,608,Fighting,Special,85,100,10,"Inflicts damage based on the target's Defense, not Special Defense.",
SeedBomb,609,Grass,Physical,80,100,15,,
SeedFlare,610,Grass,Special,120,85,5,May lower opponent's Special Defense.,40
SeismicToss,611,Fighting,Physical,,100,20,Inflicts damage equal to user's level.,
SelfDestruct,612,Normal,Physical,200,100,5,User faints.,
ShadowBall,613,Ghost,Special,80,100,15,May lower opponent's Special Defense.,20
ShadowBone,614,Ghost,Physical,85,100,10,May lower opponent's Defense.,20
ShadowClaw,615,Ghost,Physical,70,100,15,High critical hit ratio.,
ShadowForce,616,Ghost,Physical,120,100,5,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",
ShadowPunch,617,Ghost,Physical,60,,20,Ignores Accuracy and Evasiveness.,
ShadowSneak,618,Ghost,Physical,40,100,30,User attacks first.,
Sharpen,619,Normal,Status,,,30,Raises user's Attack.,
ShedTail,620,Normal,Status,,,10,"Creates a substitute, then swaps places with a party Pokémon in waiting.",
SheerCold,621,Ice,Special,,30,5,"One-Hit-KO, if it hits.",
ShellSideArm,622,Poison,Special,90,100,10,"May poison opponent. Inflicts either Special or Physical damage, whichever is better.",
ShellSmash,623,Normal,Status,,,15,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",
ShellTrap,624,Fire,Special,150,100,5,Deals more damage to opponent if hit by a Physical move.,
Shelter,625,Steel,Status,,,10,Raises Defense and Evasion.,
ShiftGear,626,Steel,Status,,,10,Raises user's Attack and sharply raises Speed.,
ShockWave,627,Electric,Special,60,,20,Ignores Accuracy and Evasiveness.,
ShoreUp,628,Ground,Status,,,5,The user regains up to half of its max HP. It restores more HP in a sandstorm.,
SignalBeam,629,Bug,Special,75,100,15,May confuse opponent.,10
SilkTrap,630,Bug,Status,,,10,Protects the user and lowers opponent's Speed on contact.,
SilverWind,631,Bug,Special,60,100,5,May raise all stats of user at once.,10
SimpleBeam,632,Normal,Status,,100,15,Changes target's ability to Simple.,
Sing,633,Normal,Status,,55,15,Puts opponent to sleep.,
SizzlySlide,634,Fire,Physical,90,100,15,Burns the opponent.,100
Sketch,635,Normal,Status,,,1,Permanently copies the opponent's last move.,
SkillSwap,636,Psychic,Status,,,10,The user swaps Abilities with the opponent.,
SkitterSmack,637,Bug,Physical,70,90,10,Lowers opponent's Sp. Attack.,
SkullBash,638,Normal,Physical,130,100,10,"Raises Defense on first turn, attacks on second.",100
SkyAttack,639,Flying,Physical,140,90,5,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.",30
SkyDrop,640,Flying,Physical,60,100,10,"Takes opponent into the air on first turn, drops them on second turn.",
SkyUppercut,641,Fighting,Physical,85,90,15,"Hits the opponent, even during Fly.",
SlackOff,642,Normal,Status,,,5,User recovers half its max HP.,
Slam,643,Normal,Physical,80,75,20,,
Slash,644,Normal,Physical,70,100,20,High critical hit ratio.,
SleepPowder,645,Grass,Status,,75,15,Puts opponent to sleep.,
SleepTalk,646,Normal,Status,,,10,User performs one of its own moves while sleeping.,
Sludge,647,Poison,Special,65,100,20,May poison opponent.,30
SludgeBomb,648,Poison,Special,90,100,10,May poison opponent.,30
SludgeWave,649,Poison,Special,95,100,10,May poison opponent.,10
SmackDown,650,Rock,Physical,50,100,15,Makes Flying-type Pokémon vulnerable to Ground moves.,100
SmartStrike,651,Steel,Physical,70,,10,The user stabs the target with a sharp horn. This attack never misses.,
SmellingSalts,652,Normal,Physical,70,100,10,"Power doubles if opponent is paralyzed, but cures it.",
Smog,653,Poison,Special,30,70,20,May poison opponent.,40
Smokescreen,654,Normal,Status,,100,20,Lowers opponent's Accuracy.,
SnapTrap,655,Grass,Physical,35,100,15,"Traps opponent, damaging them for 4-5 turns.",100
Snarl,656,Dark,Special,55,95,15,Lowers opponent's Special Attack.,100
Snatch,657,Dark,Status,,,10,Steals the effects of the opponent's next move.,
SnipeShot,658,Water,Special,80,100,15,Ignores moves and abilities that draw in moves. High critical hit ratio.,
Snore,659,Normal,Special,50,100,15,Can only be used if asleep. May cause flinching.,30
Snowscape,660,Ice,Status,,,10,Raises Defense of Ice types for 5 turns.,
Soak,661,Water,Status,,100,20,Changes the target's type to water.,
SoftBoiled,662,Normal,Status,,,5,User recovers half its max HP.,
SolarBeam,663,Grass,Special,120,100,10,"Charges on first turn, attacks on second.",
SolarBlade,664,Grass,Physical,125,100,10,"Charges on first turn, attacks on second.",
SonicBoom,665,Normal,Special,,90,20,Always inflicts 20 HP.,
SpacialRend,666,Dragon,Special,100,95,5,High critical hit ratio.,
Spark,667,Electric,Physical,65,100,20,May paralyze opponent.,30
SparklingAria,668,Water,Special,90,100,10,Heals the burns of its target.,
SparklySwirl,669,Fairy,Special,90,100,15,Cures all status problems in the party Pokémon.,
SpectralThief,670,Ghost,Physical,90,100,10,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",
SpeedSwap,671,Psychic,Status,,,10,The user exchanges Speed stats with the target.,
SpicyExtract,672,Grass,Status,,,15,Harshly lowers the opponent's Defense and sharply raises their Attack.,
SpiderWeb,673,Bug,Status,,,10,Opponent cannot escape/switch.,
SpikeCannon,674,Normal,Physical,20,100,15,Hits 2-5 times in one turn.,
Spikes,675,Ground,Status,,,20,Hurts opponents when they switch into battle.,
SpikyShield,676,Grass,Status,,,10,Protects the user and inflicts damage on contact.,
SpinOut,677,Steel,Physical,100,100,5,Harshly lowers user’s Speed.,
SpiritBreak,678,Fairy,Physical,75,100,15,Lowers opponent's Special Attack.,100
SpiritShackle,679,Ghost,Physical,80,100,10,Prevents the opponent from switching out.,
SpitUp,680,Normal,Special,,100,10,Power depends on how many times the user performed Stockpile.,
Spite,681,Ghost,Status,,100,10,The opponent's last move loses 2-5 PP.,
Splash,682,Normal,Status,,,40,Doesn't do ANYTHING.,
SplishySplash,683,Water,Special,90,100,15,May paralyze opponent.,30
Spore,684,Grass,Status,,100,15,Puts opponent to sleep.,
Spotlight,685,Normal,Status,,,15,The user shines a spotlight on the target so that only the target will be attacked during the turn.,
SpringtideStorm,686,Fairy,Special,100,80,5,"Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.",
StealthRock,687,Rock,Status,,,20,Damages opponent switching into battle.,
SteamEruption,688,Water,Special,110,95,5,May burn opponent.,30
Steamroller,689,Bug,Physical,65,100,20,May cause flinching.,30
SteelBeam,690,Steel,Special,140,95,5,User loses 50% of its HP.,
SteelRoller,691,Steel,Physical,130,100,5,Fails if no Terrain in effect.,
SteelWing,692,Steel,Physical,70,90,25,May raise user's Defense.,10
StickyWeb,693,Bug,Status,,,20,Lowers opponent's Speed when switching into battle.,
Stockpile,694,Normal,Status,,,20,Stores energy for use with Spit Up and Swallow.,
Stomp,695,Normal,Physical,65,100,20,May cause flinching.,30
StompingTantrum,696,Ground,Physical,75,100,10,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",
StoneAxe,697,Rock,Physical,65,90,15,High critical hit ratio. Damages target with splinters each turn.,
StoneEdge,698,Rock,Physical,100,80,5,High critical hit ratio.,
StoredPower,699,Psychic,Special,20,100,10,Power increases when user's stats have been raised.,
StormThrow,700,Fighting,Physical,60,100,10,Always results in a critical hit.,100
StrangeSteam,701,Fairy,Special,90,95,10,May confuse opponent.,20
Strength,702,Normal,Physical,80,100,15,,
StrengthSap,703,Grass,Status,,100,10,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,100
StringShot,704,Bug,Status,,95,40,Sharply lowers opponent's Speed.,
Struggle,705,Normal,Physical,50,,,Only usable when all PP are gone. Hurts the user.,
StruggleBug,706,Bug,Special,50,100,20,Lowers opponent's Special Attack.,100
StuffCheeks,707,Normal,Status,,,10,"The user eats its held Berry, then sharply raises its Defense stat.",100
StunSpore,708,Grass,Status,,75,30,Paralyzes opponent.,
Submission,709,Fighting,Physical,80,80,20,User receives recoil damage.,
Substitute,710,Normal,Status,,,10,Uses HP to creates a decoy that takes hits.,
SuckerPunch,711,Dark,Physical,70,100,5,"User attacks first, but only works if opponent is readying an attack.",
SunnyDay,712,Fire,Status,,,5,Makes it sunny for 5 turns.,
SunsteelStrike,713,Steel,Physical,100,100,5,Ignores the target's ability.,
SuperFang,714,Normal,Physical,,90,10,Always takes off half of the opponent's HP.,
Superpower,715,Fighting,Physical,120,100,5,Lowers user's Attack and Defense.,100
Supersonic,716,Normal,Status,,55,20,Confuses opponent.,
Surf,717,Water,Special,90,100,15,Hits all adjacent Pokémon.,
SurgingStrikes,718,Water,Physical,25,100,5,Always results in a critical hit and ignores stat changes.,
Swagger,719,Normal,Status,,85,15,"Confuses opponent, but sharply raises its Attack.",
Swallow,720,Normal,Status,,,10,"The more times the user has performed Stockpile, the more HP is recovered.",
SweetKiss,721,Fairy,Status,,75,10,Confuses opponent.,
SweetScent,722,Normal,Status,,100,20,Lowers opponent's Evasiveness.,
Swift,723,Normal,Special,60,,20,Ignores Accuracy and Evasiveness.,
Switcheroo,724,Dark,Status,,100,10,Swaps held items with the opponent.,
SwordsDance,725,Normal,Status,,,20,Sharply raises user's Attack.,
Synchronoise,726,Psychic,Special,120,100,10,Hits any Pokémon that shares a type with the user.,
